EPOCH;D LOSS;G LOSS
1;-31.416424;-3.575953
2;-22.628326;3.355740
3;-12.864266;2.090567
4;-28.443634;4.407061
5;-14.325086;2.158761
6;-15.822523;0.478133
7;-14.303183;2.016648
8;-13.506456;-0.390330
9;-12.621163;-1.575565
10;-13.681366;1.122719
11;-10.922905;-0.169024
12;-10.515760;5.295682
13;-10.697420;3.782075
14;-12.868015;1.803166
15;-9.483560;2.294767
16;-10.080832;1.013614
17;-13.974618;0.622422
18;-8.068959;3.018529
19;-11.999610;0.757026
20;-11.144045;1.372406
21;-6.903847;1.465777
22;-8.343813;1.199206
23;-8.830060;2.146916
24;-10.922150;2.228492
25;-7.470874;0.990774
26;-8.015970;2.890140
27;-9.098490;2.910157
28;-10.716874;2.915658
29;-9.140224;4.314610
30;-10.237168;2.638473
31;-7.375103;2.546201
32;-10.762486;2.991557
33;-10.472991;3.203190
34;-9.948180;3.188203
35;-8.116350;2.375615
36;-10.317957;2.534114
37;-9.282814;2.216526
38;-8.336595;1.355124
39;-8.227018;3.739800
40;-6.568580;1.407305
41;-6.828995;1.342656
42;-7.622149;2.348067
43;-7.845389;4.159098
44;-7.005251;1.914060
45;-8.922789;2.124351
46;-7.718156;2.784659
47;-6.825572;1.437351
48;-9.121298;4.390447
49;-5.001134;1.407680
50;-9.619202;-0.034843
51;-6.245899;2.683939
52;-7.262387;0.207867
53;-4.594626;1.028091
54;-6.815094;2.300025
55;-7.202552;2.313196
56;-6.916126;1.888258
57;-8.351533;2.549651
58;-9.418010;2.584913
59;-9.661139;2.468055
60;-5.542428;1.920594
61;-7.002368;1.597963
62;-9.338362;2.183918
63;-8.824928;-0.086947
64;-6.723783;0.631422
65;-8.452440;2.001016
66;-4.943529;2.106956
67;-8.956855;2.073712
68;-6.887254;1.592321
69;-3.172616;0.787064
70;-7.051194;1.884539
71;-7.488951;1.936011
72;-7.453940;2.201341
73;-7.874535;0.061318
74;-7.628785;0.689534
75;-7.505956;2.132436
76;-7.088249;1.233475
77;-7.233894;0.880145
78;-7.808771;3.111476
79;-6.636108;1.599406
80;-6.514143;1.455541
81;-7.452304;1.890090
82;-7.122810;1.423622
83;-7.835424;1.176938
84;-6.552169;0.388501
85;-8.513927;1.917622
86;-3.363228;0.971646
87;-6.754653;0.447320
88;-6.365158;1.043057
89;-6.822270;2.463309
90;-5.167734;1.616889
91;-5.969134;2.541279
92;-6.725178;-1.022326
93;-6.913508;0.174982
94;-6.480146;1.580111
95;-6.992936;-2.164099
96;-5.951930;2.374678
97;-6.767189;-0.180669
98;-7.057318;2.371171
99;-8.140333;0.532430
100;-7.367194;-1.232068
101;-4.863313;0.229279
102;-3.717569;0.677987
103;-9.220529;0.875216
104;-8.077596;1.157778
105;-4.486541;0.581668
106;-5.692782;0.309543
107;-4.926781;0.154651
108;-9.241033;1.100678
109;-7.196987;1.991886
110;-5.961642;1.303542
111;-3.969300;-1.116234
112;-6.054480;1.737412
113;-5.001859;0.406506
114;-7.219711;-0.272332
115;-6.024918;-0.129015
116;-7.632818;0.576057
117;-5.186759;-0.610241
118;-7.503222;0.961345
119;-5.421027;0.862606
120;-5.714591;1.417652
121;-7.383083;-1.034892
122;-7.123969;0.185283
123;-4.212496;0.994013
124;-6.355768;0.478813
125;-5.340234;-0.104482
126;-6.650691;1.258804
127;-5.344769;0.821077
128;-8.894597;-2.106302
129;-8.453199;0.021566
130;-5.251760;1.127050
131;-7.426289;0.172872
132;-7.235962;-1.591629
133;-9.829108;-0.506759
134;-8.848516;0.292052
135;-7.034170;-1.359780
136;-6.129020;-0.719833
137;-7.132744;-0.755772
138;-4.251042;-0.038599
139;-8.104345;0.326910
140;-6.257283;-0.641816
141;-5.898979;0.069830
142;-8.000612;-0.570659
143;-8.597176;-0.017099
144;-4.979041;-1.698491
145;-6.929365;-1.055431
146;-6.524083;-0.376183
147;-3.873641;-0.067928
148;-4.717077;0.301773
149;-8.037395;0.532558
150;-7.177783;-0.196605
151;-5.268797;-0.673643
152;-6.687022;0.592522
153;-4.803562;-1.148793
154;-5.647381;-0.642280
155;-5.571250;0.487491
156;-7.137522;-1.015881
157;-3.582516;-0.488899
158;-5.436330;0.217062
159;-3.987920;0.017829
160;-4.862788;-1.286744
161;-7.275331;0.445099
162;-7.876914;-0.799137
163;-6.748775;-0.499442
164;-10.938339;-0.322933
165;-3.538800;-0.672971
166;-6.043708;-0.722193
167;-10.108583;-1.286690
168;-6.943085;-0.205980
169;-8.166371;-1.524403
170;-5.616534;-0.703354
171;-7.357057;-1.059391
172;-5.306780;-0.146247
173;-6.570481;-1.530033
174;-7.243336;0.532767
175;-6.173755;-0.618311
176;-5.515246;-0.248528
177;-5.173631;0.205283
178;-8.589112;-0.934330
179;-7.351267;-1.491827
180;-5.719549;-1.598163
181;-4.401522;-2.075459
182;-6.657428;-0.269867
183;-5.636368;-1.507647
184;-6.491302;-0.616636
185;-5.359325;-2.374561
186;-6.115318;-1.302077
187;-7.389791;0.868503
188;-5.726545;-0.912148
189;-4.941500;-1.167965
190;-3.979924;-1.649460
191;-5.906562;0.322856
192;-4.687817;-0.527743
193;-6.424705;-1.563187
194;-4.191218;0.795537
195;-6.546434;-1.177986
196;-5.680571;-0.560015
197;-5.802797;0.261279
198;-7.332701;-1.355120
199;-5.568161;0.087981
200;-5.590480;-1.793652
201;-5.432671;-0.851560
202;-7.333501;-1.604396
203;-5.832906;-0.995615
204;-6.959628;0.892110
205;-6.186524;-0.434568
206;-5.072915;-0.652749
207;-5.543351;-1.554774
208;-6.390239;-1.567031
209;-4.882160;-0.272612
210;-6.938023;-1.090899
211;-7.386931;-1.337996
212;-4.319250;-1.756487
213;-5.862451;-0.806039
214;-7.250133;-1.944320
215;-8.684896;-0.065438
216;-6.634006;-2.397944
217;-4.372915;-1.063222
218;-5.744113;-1.911923
219;-3.184681;0.019114
220;-6.586799;-1.111739
221;-4.823954;-0.330189
222;-6.976806;-1.490234
223;-5.409806;-0.213454
224;-5.778728;-1.872110
225;-5.028149;0.800305
226;-6.348385;-1.104906
227;-5.484463;-0.822116
228;-6.207893;-0.940452
229;-6.325248;0.469495
230;-6.272753;-0.811885
231;-7.542265;-2.378217
232;-5.594222;-2.408919
233;-3.730598;-1.388360
234;-6.539666;-0.895522
235;-6.340352;-0.843261
236;-7.373309;-2.162044
237;-5.295492;-1.798201
238;-4.317848;-1.542680
239;-5.969415;-1.198293
240;-6.950905;-1.833797
